Location;Latitude;Longitude;Size;Soil;SoilType
SIC_8_70;46.95244876393039;23.87200616279585;100;Faeoziom;4
SIC_23_71;46.94943826342629;23.873653367543827;100;Antrosol;10
SIC_6_72;46.95086926055254;23.878816926126074;100;Faeoziom;3
SIC_16_73;46.95106372790431;23.883859656690394;100;Preluvosol;7
SIC_18_74;46.955295459983745;23.888359439334078;100;Preluvosol;7
SIC_17_75;46.951758276362455;23.887499990961164;100;Preluvosol;7
SIC_8_76;46.9466779618723;23.869739799914218;100;Faeoziom;4
SIC_23_77;46.94412771279514;23.868618797141313;100;Antrosol;10
SIC_9_78;46.94263712543858;23.865818202598298;100;Faeoziom;4
SIC_23_79;46.94271097491628;23.86302609292689;100;Antrosol;10
SIC_23_80;46.94017319752453;23.86348954995771;100;Antrosol;10
SIC_22_81;46.94127708437662;23.869718915419373;100;Antrosol;10
SIC_2_82;46.940679281474644;23.87425590529245;100;Regosol;0
SIC_23_83;46.94316974036383;23.876653007757213;100;Antrosol;10
SIC_9_84;46.94603645364475;23.874702053958444;100;Faeoziom;4
SIC_23_85;46.94437910475068;23.882805124229485;100;Antrosol;10
SIC_2_86;46.94483792584839;23.88821910460911;100;Regosol;0
SIC_1_87;46.956329349819924;23.89418290221147;100;Regosol;0
SIC_22_88;46.95691542650229;23.900134953398148;100;Antrosol;10
SIC_5_89;46.9533301751155;23.896837466694503;100;Aluviosol;2
SIC_4_90;46.95439718512338;23.897289315731832;100;Aluviosol;1
SIC_18_91;46.951018223109685;23.895950566137845;100;Preluvosol;7
SIC_5_92;46.951611221408285;23.90056112631523;100;Aluviosol;2
SIC_12_93;46.94850088596942;23.89974960389713;100;Eutricambosol;6
SIC_1_94;46.948118788822484;23.892913244975908;100;Regosol;0
SIC_15_95;46.942779423151734;23.890081066596657;100;Preluvosol;7
SIC_9_96;46.93953710181145;23.88879903814538;100;Faeoziom;4
SIC_22_97;46.938730798256074;23.88536591843928;100;Antrosol;10
SIC_9_98;46.94453267977474;23.894340315064134;100;Faeoziom;4
SIC_22_99;46.946313533654205;23.900269682664327;100;Antrosol;10
SIC_1_100;46.94828293822695;23.904024142932414;100;Regosol;0
SIC_11_101;46.94772871154814;23.907076428213745;100;Eutricambosol;6
SIC_5_102;46.94390695710592;23.903246403798892;100;Aluviosol;2
SIC_16_103;46.942159757228126;23.904155386334853;100;Preluvosol;7
SIC_23_104;46.944271558613764;23.90639346638894;100;Antrosol;10
SIC_22_105;46.942499431674094;23.907260877091584;100;Antrosol;10
SIC_15_106;46.94160385903538;23.910597258901653;100;Preluvosol;7
SIC_17_107;46.945921025528605;23.90973991716516;100;Preluvosol;7
SIC_16_108;46.947036005882126;23.915477601933436;100;Preluvosol;7
SIC_15_109;46.95000177992293;23.915670252474868;100;Preluvosol;7
SIC_1_110;46.95045777786265;23.91884917251709;100;Regosol;0
SIC_22_111;46.946731045161954;23.919521158734376;100;Antrosol;10
SIC_17_112;46.947516284482674;23.92364809472874;100;Preluvosol;7
SIC_1_113;46.94717813814597;23.926415846360957;100;Regosol;0
SIC_16_114;46.94659811377085;23.929431463083915;100;Preluvosol;7
SIC_17_115;46.94954718715019;23.929352487032094;100;Preluvosol;7
SIC_22_116;46.950314113164666;23.93224722753621;100;Antrosol;10
SIC_1_117;46.9485963354102;23.93357093281054;100;Regosol;0
SIC_24_118;46.944015532252195;23.93565106189835;100;Antrosol;10
SIC_2_119;46.94521800011131;23.939739525082807;100;Regosol;0
SIC_22_120;46.942977085737795;23.941784192558057;100;Antrosol;10
SIC_20_121;46.94169155360342;23.937207544801375;100;Gleiosol;8
